indicator,name
DT.ODA.MULT.ZSG,Net ODA received from multilateral donors (% of GDP)
DT.ODA.NDAC.ZSG,Net ODA received from non-DAC bilateral donors (% of GDP)
DT.ODA.ODAT.GD.ZS,Net ODA received (% of GDP)
DT.TDS.DECT.GD.ZS,Total debt service (% of GDP)
EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
EG.GDP.PUSE.KO.87,GDP per unit of energy use (1987 US$ per kg of oil equivalent)
EG.GDP.PUSE.KO.KD,GDP per unit of energy use (2000 US$ per kg of oil equivalent)
EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent)
EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent)
EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)"
EN.ATM.CO2E.GDP,"CO2 emissions, industrial (kg per 1987 US$ of GDP)"
EN.ATM.CO2E.KD.87.GD,"CO2 emissions, industrial (kg per 1987 US$ of GDP)"
EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2015 US$ of GDP)
EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP)
EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2017 PPP $ of GDP)
ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
EU.EGY.USES.GDP,GDP per unit of energy use (1987 US$ per kg of oil equivalent)
FB.DPT.INSU.PC.ZS,Deposit insurance coverage (% of GDP per capita)
FD.AST.PRVT.GD.ZS,Domestic credit to private sector by banks (% of GDP)
FI.RES.TOTL.CD.ZS,Total reserves includes gold (% of GDP)
FM.AST.GOVT.CN.ZS,Claims on governments and other public entities (% of GDP)
FM.AST.PRVT.GD.ZS,Monetary Sector credit to private sector (% GDP)
FM.LBL.BMNY.GD.ZS,Broad money (% of GDP)
FM.LBL.MQMY.GD.ZS,Money and quasi money (M2) as % of GDP
FM.LBL.MQMY.GDP.ZS,Money and quasi money (M2) as % of GDP
FM.LBL.MQMY.XD,Income velocity of money (GDP/M2)
FM.LBL.QMNY.GDP.ZS,Quasi-liquid liabilities (% of GDP)
FM.LBL.SEIG.GDP.ZS,Seignorage (% of GDP)
FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)"
FS.AST.DOMO.GD.ZS,Claims on other sectors of the domestic economy (% of GDP)
FS.AST.DOMS.GD.ZS,Domestic credit provided by financial sector (% of GDP)
FS.AST.DTOT.ZS,Domestic credit provided by banking sector (% of GDP)
FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP)
FS.AST.PRVT.GDP.ZS,Credit to private sector (% of GDP)
FS.LBL.LIQU.GD.ZS,Liquid liabilities (M3) as % of GDP
FS.LBL.LIQU.GDP.ZS,Liquid liabilities (M3) as % of GDP
FS.LBL.QLIQ.GD.ZS,Quasi-liquid liabilities (% of GDP)
GB.BAL.OVRL.GD.ZS,"Overall budget balance, including grants (% of GDP)"
GB.BAL.OVRL.GDP.ZS,"Overall budget deficit, including grants (% of GDP)"
GB.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)"
GB.DOD.TOTL.GDP.ZS,"Central government debt, total (% of GDP)"
GB.FIN.ABRD.GD.ZS,Financing from abroad (% of GDP)
GB.FIN.ABRD.GDP.ZS,Financing from abroad (% of GDP)
GB.FIN.DOMS.GD.ZS,"Domestic financing, total (% of GDP)"
GB.FIN.DOMS.GDP.ZS,Domestic finanacing (% of GDP)
GB.REV.CTOT.GD.ZS,"Current revenue, excluding grants (% of GDP)"
GB.REV.TOTL.GDP.ZS,Current revenue (% of GDP)
GB.REV.XAGT.CN.ZS,"Central government revenues, excluding all grants (% of GDP)"
GB.RVC.TOTL.GD.ZS,"Current revenue, excluding grants (% of GDP)"
GB.SOE.DECT.ZS,SOE external debt (% of GDP)
GB.SOE.ECON.GD.ZS,"State-owned enterprises, economic activity (% of GDP)"
GB.SOE.ECON.GDP.ZS,SOE economic activity (% of GDP)
GB.SOE.NFLW.GD.ZS,"State-owned enterprises, net financial flows from government (% of GDP)"
GB.SOE.NFLW.GDP.ZS,SOE net financial flows from government (% of GDP)
GB.SOE.OVRL.GD.ZS,"State-owned enterprises, overall balance before transfers (% of GDP)"
GB.TAX.TOTL.GD.ZS,Tax revenue (% of GDP)
GB.TAX.TOTL.GDP.ZS,Tax revenue (% of GDP)
GB.XPD.DEFN.GDP.ZS,Defense expenditure (% of GDP)
GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP)
GB.XPD.TOTL.GD.ZS,"Expenditure, total (% of GDP)"
GB.XPD.TOTL.GDP.ZS,Total expenditure (% of GDP)
GC.AST.TOTL.GD.ZS,Net acquisition of financial assets (% of GDP)
GC.BAL.CASH.GD.ZS,Cash surplus/deficit (% of GDP)
GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)"
GC.FIN.DOMS.GD.ZS,"Net incurrence of liabilities, domestic (% of GDP)"
GC.FIN.FRGN.GD.ZS,"Net incurrence of liabilities, foreign (% of GDP)"
GC.LBL.TOTL.GD.ZS,"Net incurrence of liabilities, total (% of GDP)"
GC.NFN.TOTL.GD.ZS,Net investment in nonfinancial assets (% of GDP)
GC.NLD.TOTL.GD.ZS,Net lending (+) / net borrowing (-) (% of GDP)
GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)"
GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP)
GC.XPN.TOTL.GD.ZS,Expense (% of GDP)
GFDD.DI.01,Private credit by deposit money banks to GDP (%)
GFDD.DI.02,Deposit money banks'' assets to GDP (%)
GFDD.DI.03,Nonbank financial institutions’ assets to GDP (%)
GFDD.DI.05,Liquid liabilities to GDP (%)
GFDD.DI.06,Central bank assets to GDP (%)
GFDD.DI.07,Mutual fund assets to GDP (%)
GFDD.DI.08,Financial system deposits to GDP (%)
GFDD.DI.09,Life insurance premium volume to GDP (%)
GFDD.DI.10,Non-life insurance premium volume to GDP (%)
GFDD.DI.11,Insurance company assets to GDP (%)
GFDD.DI.12,Private credit by deposit money banks and other financial institutions to GDP (%)
GFDD.DI.13,Pension fund assets to GDP (%)
GFDD.DI.14,Domestic credit to private sector (% of GDP)
GFDD.DM.01,Stock market capitalization to GDP (%)
GFDD.DM.02,Stock market total value traded to GDP (%)
GFDD.DM.03,Outstanding domestic private debt securities to GDP (%)
GFDD.DM.04,Outstanding domestic public debt securities to GDP (%)
GFDD.DM.05,Outstanding international private debt securities to GDP (%)
GFDD.DM.06,Outstanding international public debt securities to GDP (%)
GFDD.DM.07,International debt issues to GDP (%)
GFDD.DM.08,Gross portfolio equity liabilities to GDP (%)
GFDD.DM.09,Gross portfolio equity assets to GDP (%)
GFDD.DM.10,Gross portfolio debt liabilities to GDP (%)
GFDD.DM.11,Gross portfolio debt assets to GDP (%)
GFDD.DM.12,Syndicated loan issuance volume to GDP (%)
GFDD.DM.13,Corporate bond issuance volume to GDP (%)
GFDD.DM.16,Credit flows by fintech and bigtech companies to GDP (%)
GFDD.DM.16,Credit flows by fintech and bigtech companies to GDP (%)
GFDD.EI.08,Credit to government and state-owned enterprises to GDP (%)
GFDD.OI.02,Bank deposits to GDP (%)
GFDD.OI.08,Loans from nonresident banks (net) to GDP (%)
GFDD.OI.09,Loans from nonresident banks (amounts outstanding) to GDP (%)
GFDD.OI.13,Remittance inflows to GDP (%)
GFDD.OI.14,Consolidated foreign claims of BIS reporting banks to GDP (%)
GFDD.OI.17,Global leasing volume to GDP (%)
GFDD.OI.18,Total factoring volume to GDP (%)
IE.ICT.TOTL.GD.ZS,Information and communication technology expenditure (% of GDP)
IS.RRS.GOOD.KM.PP.ZS,"Railways, goods transported (ton-km per PPP $ million of GDP)"
IS.RRS.PASG.K2.PP.ZS,"Railways, passenger-km (per PPP $ million of GDP)"
IT.TEL.REVN.GD.ZS,Telecommunications revenue (% GDP)
MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP)
NA.GDP.ACC.FB.SNA08.CR,"GDP on Accommodation & Food Beverages Activity Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.ACC.FB.SNA08.KR,"GDP on Accommodation & Food Beverages Activity Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.AGR.CR,"GDP on Agriculture Sector (in IDR Million), Current Price"
NA.GDP.AGR.KR,"GDP on Agriculture Sector (in IDR Million), Constant Price"
NA.GDP.AGR.SNA08.CR,"GDP on Agriculture, Forestry & Fisheries Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.AGR.SNA08.KR,"GDP on Agriculture, Forestry & Fisheries Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.BUSS.SNA08.CR,"GDP on Business Services Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.BUSS.SNA08.KR,"GDP on Business Services Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.CNST.CR,"GDP on Construction Sector (in IDR Million), Current Price"
NA.GDP.CNST.KR,"GDP on Construction Sector (in IDR Million), Constant Price"
NA.GDP.CNST.SNA08.CR,"GDP on Construction Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.CNST.SNA08.KR,"GDP on Construction Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.EDUS.SNA08.CR,"GDP on Education Services Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.EDUS.SNA08.KR,"GDP on Education Services Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.ELEC.GAS.SNA08.CR,"GDP on Electricity & Gas Supply Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.ELEC.GAS.SNA08.KR,"GDP on Electricity & Gas Supply Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.EXC.OG.CR,"Total GDP excluding Oil and Gas (in IDR Million), Current Price"
NA.GDP.EXC.OG.KR,"Total GDP excluding Oil and Gas (in IDR Million), Constant Price"
NA.GDP.FINS.CR,"GDP on Financial Service Sector (in IDR Million), Current Price"
NA.GDP.FINS.KR,"GDP on Financial Service Sector (in IDR Million), Constant Price"
NA.GDP.FINS.SNA08.CR,"GDP on Financial & Insurance Activity Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.FINS.SNA08.KR,"GDP on Financial & Insurance Activity Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.HLTH.SOCW.SNA08.CR,"GDP on Human Health & Social Work Activity Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.HLTH.SOCW.SNA08.KR,"GDP on Human Health & Social Work Activity Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.INC.OG.CR,"Total GDP including Oil and Gas (in IDR Million), Current Price"
NA.GDP.INC.OG.KR,"Total GDP including Oil and Gas (in IDR Million), Constant Price"
NA.GDP.INC.OG.SNA08.CR,"Total GDP including Oil and Gas (in IDR Million), SNA 2008, Current Price"
NA.GDP.INC.OG.SNA08.KR,"Total GDP including Oil and Gas (in IDR Million), SNA 2008, Constant Price"
NA.GDP.INF.COMM.SNA08.CR,"GDP on Information & Communication Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.INF.COMM.SNA08.KR,"GDP on Information & Communication Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.MINQ.CR,"GDP on Mining and Quarrying Sector (in IDR Million), Current Price"
NA.GDP.MINQ.KR,"GDP on Mining and Quarrying Sector (in IDR Million), Constant Price"
NA.GDP.MINQ.SNA08.CR,"GDP on Mining & Quarrying Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.MINQ.SNA08.KR,"GDP on Mining & Quarrying Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.MNF.CR,"GDP on Manufacturing Sector (in IDR Million), Current Price"
NA.GDP.MNF.KR,"GDP on Manufacturing Sector (in IDR Million), Constant Price"
NA.GDP.MNF.SNA08.CR,"GDP on Manufacturing Industry Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.MNF.SNA08.KR,"GDP on Manufacturing Industry Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.PADM.DEF.SNA08.CR,"GDP on Public Administration, Defense & Compulsory Social Security Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.PADM.DEF.SNA08.KR,"GDP on Public Administration, Defense & Compulsory Social Security Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.REST.SNA08.CR,"GDP on Real Estate Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.REST.SNA08.KR,"GDP on Real Estate Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.SRV.OTHR.CR,"GDP on Other Service Sector (in IDR Million), Current Price"
NA.GDP.SRV.OTHR.KR,"GDP on Other Service Sector (in IDR Million), Constant Price"
NA.GDP.SRV.OTHR.SNA08.CR,"GDP on Other Services Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.SRV.OTHR.SNA08.KR,"GDP on Other Services Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.TRAN.COMM.CR,"GDP on Transportation and Telecommunication Sector (in IDR Million), Current Price"
NA.GDP.TRAN.COMM.KR,"GDP on Transportation and Telecommunication Sector (in IDR Million), Constant Price"
NA.GDP.TRAN.STOR.SNA08.CR,"GDP on Transportation & Storage Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.TRAN.STOR.SNA08.KR,"GDP on Transportation & Storage Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.TRD.HTL.CR,"GDP on Trade, Hotel and Restaurant Sector (in IDR Million), Current Price"
NA.GDP.TRD.HTL.KR,"GDP on Trade, Hotel and Restaurant Sector (in IDR Million), Constant Price"
NA.GDP.TRD.SNA08.CR,"GDP on Wholesales & Retail Trade, Repair of Motor Vehicles & Motorcycles Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.TRD.SNA08.KR,"GDP on Wholesales & Retail Trade, Repair of Motor Vehicles & Motorcycles Sector (in IDR Million), SNA 2008, Constant Price"
NA.GDP.UTL.CR,"GDP on Utilities Sector (in IDR Million), Current Price"
NA.GDP.UTL.KR,"GDP on Utilities Sector (in IDR Million), Constant Price"
NA.GDP.WTR.WST.SNA08.CR,"GDP on Water Supply, Sewerage, Waste & Recycling Management Sector (in IDR Million), SNA 2008, Current Price"
NA.GDP.WTR.WST.SNA08.KR,"GDP on Water Supply, Sewerage, Waste & Recycling Management Sector (in IDR Million), SNA 2008, Constant Price"
NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP)
NE.CON.PETC.ZS,"Household final consumption expenditure, etc. (% of GDP)"
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP)
NE.CON.TETC.ZS,"Final consumption expenditure, etc. (% of GDP)"
NE.CON.TOTL.ZG,Total consumption: contribution to growth of GDP (%)
NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP)
NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP)
NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
NE.GDI.CON.GOVT.CR,GDP expenditure on general government consumption (in IDR Million)
NE.GDI.CON.GOVT.SNA08.CR,"GDP expenditure on general government consumption (in IDR Million), SNA 2008, Current Price"
NE.GDI.CON.NPI.CR,GDP expenditure on non profit private institution consumption (in IDR Million)
NE.GDI.CON.NPI.SNA08.CR,"GDP expenditure on non profit private institution consumption (in IDR Million), SNA 2008, Current Price"
NE.GDI.CON.PRVT.CR,GDP expenditure on private consumption (in IDR Million)
NE.GDI.CON.PRVT.SNA08.CR,"GDP expenditure on private consumption (in IDR Million), SNA 2008, Current Price"
NE.GDI.EXPT.CR,GDP expenditure on exports (in IDR Million)
NE.GDI.EXPT.SNA08.CR,"GDP expenditure on exports (in IDR Million), SNA 2008, Current Price"
NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)"
NE.GDI.FPUB.ZS,Gross public investment (% of GDP)
NE.GDI.FTOT.CR,GDP expenditure on gross fixed capital formation (in IDR Million)
NE.GDI.FTOT.SNA08.CR,"GDP expenditure on gross fixed capital formation (in IDR Million), SNA 2008, Current Price"
NE.GDI.FTOT.ZS,Gross fixed capital formation (% of GDP)
NE.GDI.IMPT.CR,GDP expenditure on imports (in IDR Million)
NE.GDI.IMPT.SNA08.CR,"GDP expenditure on imports (in IDR Million), SNA 2008, Current Price"
NE.GDI.INEX.SNA08.CR,"GDP expenditure on inter-region net exports (in IDR Million), SNA 2008, Current Price"
NE.GDI.STKB.CR,GDP expenditure on changes in stock (in IDR Million)
NE.GDI.STKB.SNA08.CR,"GDP expenditure on changes in stock (in IDR Million), SNA 2008, Current Price"
NE.GDI.TOTL.CR,Total GDP based on expenditure (in IDR Million)
NE.GDI.TOTL.SNA08.CR,"Total GDP based on expenditure (in IDR Million), SNA 2008, Current Price"
NE.GDI.TOTL.ZG,Gross domestic investment: contr. to growth of GDP(%)
NE.GDI.TOTL.ZS,Gross capital formation (% of GDP)
NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP)
NE.MRCH.GDP.ZS,Merchandise trade to GDP ratio (%)
NE.RSB.GNFS.ZG,Resource balance: contribution to growth of GDP (%)
NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
NE.TRD.GNFS.ZS,Trade (% of GDP)
NP.AGR.TOTL.ZG,Agriculture: contribution to growth of GDP (%)
NP.IND.TOTL.ZG,Industry: contribution to growth of GDP (%)
NP.SRV.TOTL.ZG,Services: contribution to growth of GDP (%)
NV.AGR.PCAP.KD.ZG,Real agricultural GDP per capita growth rate (%)
NV.AGR.TOTL.ZG,Real agricultural GDP growth rates (%)
NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)"
NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)"
NV.IND.TOTL.ZG,Industry: contribution to growth of GDP (%)
NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)"
NV.SRV.DISC.CD,"Discrepancy in GDP, value added (current US$)"
NV.SRV.DISC.CN,"Discrepancy in GDP, value added (current LCU)"
NV.SRV.DISC.KN,"Discrepancy in GDP, value added (constant LCU)"
NV.SRV.TETC.ZG,Services: contribution to growth of GDP (%)
NV.SRV.TETC.ZS,"Services, etc., value added (% of GDP)"
NV.SRV.TOTL.ZS,"Services, value added (% of GDP)"
NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP)
NY.GDP.COAL.RT.ZS,Coal rents (% of GDP)
NY.GDP.DEFL.87.ZG,"Inflation, GDP deflator (annual %)"
NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)"
NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series (annual %)"
NY.GDP.DEFL.ZS,GDP deflator (base year varies by country)
NY.GDP.DEFL.ZS.87,GDP deflator (1987 = 100)
NY.GDP.DEFL.ZS.AD,GDP deflator: linked series (base year varies by country)
NY.GDP.DISC.CD,Discrepancy in expenditure estimate of GDP (current US$)
NY.GDP.DISC.CN,Discrepancy in expenditure estimate of GDP (current LCU)
NY.GDP.DISC.KN,Discrepancy in expenditure estimate of GDP (constant LCU)
NY.GDP.FCST.KD.87,GDP at factor cost (constant 1987 US$)
NY.GDP.FCST.KN.87,GDP at factor cost (constant 1987 LCU)
NY.GDP.FRST.RT.ZS,Forest rents (% of GDP)
NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP)
NY.GDP.MKTP.CD,GDP (current US$)
NY.GDP.MKTP.CD.XD,"GDP deflator, index (2000=100; US$ series)"
NY.GDP.MKTP.CN,GDP (current LCU)
NY.GDP.MKTP.CN.AD,GDP: linked series (current LCU)
NY.GDP.MKTP.CN.XD,"GDP deflator, period average (LCU index 2000=100)"
NY.GDP.MKTP.IN,GDP Deflator
NY.GDP.MKTP.KD,GDP (constant 2015 US$)
NY.GDP.MKTP.KD.87,GDP at market prices (constant 1987 US$)
NY.GDP.MKTP.KD.ZG,GDP growth (annual %)
NY.GDP.MKTP.KN,GDP (constant LCU)
NY.GDP.MKTP.KN.87,GDP at market prices (constant 1987 LCU)
NY.GDP.MKTP.KN.87.ZG,GDP growth (annual %)
NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)"
NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2017 international $)"
NY.GDP.MKTP.PP.KD.87,"GDP, PPP (constant 1987 international $)"
NY.GDP.MKTP.XD,"GDP deflator (1987=100,Index)"
NY.GDP.MKTP.XU.E,"GDP deflator, end period (base year varies by country)"
NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP)
NY.GDP.PCAP.CD,GDP per capita (current US$)
NY.GDP.PCAP.CN,GDP per capita (current LCU)
NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$)
NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %)
NY.GDP.PCAP.KN,GDP per capita (constant LCU)
NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)"
NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)"
NY.GDP.PCAP.PP.KD.87,"GDP per capita, PPP (constant 1987 international $)"
NY.GDP.PCAP.PP.KD.ZG,"GDP per capita, PPP annual growth (%)"
NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP)
NY.GDS.TOTL.ZS,Gross domestic savings (% of GDP)
NY.GEN.AEDU.GD.ZS,Genuine savings: education expenditure (% of GDP)
NY.GEN.DCO2.GD.ZS,Genuine savings: carbon dioxide damage (% of GDP)
NY.GEN.DFOR.GD.ZS,Genuine savings: net forest depletion (% of GDP)
NY.GEN.DKAP.GD.ZS,Genuine savings: consumption of fixed capital (% of GDP)
NY.GEN.DMIN.GD.ZS,Genuine savings: mineral depletion (% of GDP)
NY.GEN.DNGY.GD.ZS,Genuine savings: energy depletion (% of GDP)
NY.GEN.NDOM.GD.ZS,Genuine savings: net domestic savings (% of GDP)
NY.GEN.SVNG.GD.ZS,Genuine domestic savings (% of GDP)
NY.GNS.ICTR.ZS,Gross savings (% of GDP)
NYGDPMKTPKDZ,Annual percentage growth rate of GDP at market prices based on constant 2010 US Dollars.
NYGDPMKTPSACD,"GDP,current US$,millions,seas. adj.,"
NYGDPMKTPSACN,"GDP,current LCU,millions,seas. adj.,"
NYGDPMKTPSAKD,"GDP,constant 2010 US$,millions,seas. adj.,"
NYGDPMKTPSAKN,"GDP,constant 2010 LCU,millions,seas. adj.,"
PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)"
PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)"
PA.NUS.PPPC.RF,Price level ratio of PPP conversion factor (GDP) to market exchange rate
SE.PRM.SATT.2,(De Facto) Average principal salary as percent of GDP per capita
SE.PRM.TATT.1,(De Jure) Average starting public-school teacher salary as percent of GDP per capita
SE.XPD.EDUC.ZS,Public Expenditure on Education  (% GDP)
SE.XPD.PRIM.GDP.ZS,"Public spending on education, primary (% of GDP)"
SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary (% of GDP per capita)"
SE.XPD.SECO.GDP.ZS,"Public spending on education, secondary (% of GDP)"
SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary (% of GDP per capita)"
SE.XPD.TERT.GDP.ZS,"Public spending on education, tertiary (% of GDP)"
SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary (% of GDP per capita)"
SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)"
SF.TRN.RAIL.KM.ZS,Rail traffic (km per million US$ GDP)
SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP)
SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP)
SH.XPD.HLTH.ZS,Public Expenditure on Health (% GDP)
SH.XPD.KHEX.GD.ZS,Capital health expenditure (% of GDP)
SH.XPD.PRIV.ZS,"Health expenditure, private (% of GDP)"
SH.XPD.PUBL.ZS,"Health expenditure, public (% of GDP)"
SH.XPD.TOTL.ZS,"Health expenditure, total (% of GDP)"
SL.GDP.PCAP.EM.KD,GDP per person employed (constant 2017 PPP $)
SL.GDP.PCAP.EM.KD.ZG,GDP per person employed (annual % growth)
SL.GDP.PCAP.EM.XD,"GDP per person employed, index (1980 = 100)"
TG.VAL.TOTL.GD.PP.ZS,"Trade (% of GDP, PPP)"
TG.VAL.TOTL.GD.ZS,Merchandise trade (% of GDP)
TG.VAL.TOTL.GG.ZS,Trade in goods (% of goods GDP)
UIS.XGDP.0.FSGOV,Government expenditure on pre-primary education as % of GDP (%)
UIS.XGDP.1.FSGOV,Government expenditure on primary education as % of GDP (%)
UIS.XGDP.2.FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%)
UIS.XGDP.23.FSGOV,Government expenditure on secondary education as % of GDP (%)
UIS.XGDP.2T4.V.FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as % of GDP (%)
UIS.XGDP.3.FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%)
UIS.XGDP.4.FSGOV,Government expenditure on post-secondary non-tertiary education as % of GDP (%)
UIS.XGDP.56.FSGOV,Government expenditure on tertiary education as % of GDP (%)
UIS.XUNIT.GDPCAP.02.FSGOV,Initial government funding per pre-primary student as a percentage of GDP per capita
UIS.XUNIT.GDPCAP.1.FSGOV,Initial government funding per primary student as a percentage of GDP per capita
UIS.XUNIT.GDPCAP.1.FSHH,Initial household funding per primary student as a percentage of GDP per capita
UIS.XUNIT.GDPCAP.2.FSGOV,Initial government funding per lower secondary student as a percentage of GDP per capita
UIS.XUNIT.GDPCAP.23.FSGOV,Initial government funding per secondary student as a percentage of GDP per capita
UIS.XUNIT.GDPCAP.23.FSHH,Initial household funding per secondary student as a percentage of GDP per capita
UIS.XUNIT.GDPCAP.3.FSGOV,Initial government funding per upper secondary student as a percentage of GDP per capita
UIS.XUNIT.GDPCAP.5T8.FSGOV,Initial government funding per tertiary student as a percentage of GDP per capita
UIS.XUNIT.GDPCAP.5T8.FSHH,Initial household funding per tertiary student as a percentage of GDP per capita
